"DBA","BORO","STREET","ZIPCODE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","X1","X2"
"UNIONE RESTAURANT & BAR","MANHATTAN","BROADWAY",10031,"American","07/27/2016","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Critical",17,"B","07/27/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"SEOUL GARDEN","MANHATTAN","WEST   32 STREET",10001,"Korean","07/01/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","07/01/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"NIKO NIKO SUSHI & BOWL","MANHATTAN","JOHN ST",10038,"Japanese","08/18/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",20,"B","08/18/2014","04/23/2017","Pre-permit (Operational) / Re-inspection",NA,NA
"PRESTO FRESH CAFE","MANHATTAN","LENOX AVE",10037,"Spanish","10/23/2015","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",8,"A","10/23/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"BEAUTY AND ESSEX","MANHATTAN","ESSEX STREET",10002,"American","04/15/2014","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","04/15/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"FOUR SEASONS HOTEL","MANHATTAN","EAST   57 STREET",10022,"American","09/02/2014","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",6,"A","09/02/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"BROTHER JIMMY'S BBQ","MANHATTAN","8 AVENUE",10001,"Barbecue","04/02/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",21,"B","04/02/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"WEST BANK CAFE","MANHATTAN","WEST   42 STREET",10036,"American","08/02/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",5,"A","08/02/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"BOBBY VAN'S","MANHATTAN","PARK AVENUE",10017,"Steak","07/01/2013","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",9,"A","07/01/2013","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"RAOULS","MANHATTAN","PRINCE STREET",10012,"French","05/26/2016","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",7,"A","05/26/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"MANGIA","MANHATTAN","WEST   57 STREET",10019,"Italian","03/07/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",24,"B","03/07/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"FOOD KING CHINESE RESTAURANT","MANHATTAN","MARKET STREET",10002,"Chinese","09/13/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",8,"A","09/13/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"EUREST DINING SERVICE (American Express)","MANHATTAN","VESEY STREET",10285,"American","06/12/2013","Violations were cited in the following area(s).","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.","Not Critical",13,"A","06/12/2013","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"UTSAV FESTIVE INDIA RESTAURANT","MANHATTAN","AVENUE OF AMERICAS",10036,"Indian","12/11/2014","Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.","Critical",12,"A","12/11/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"RANDOLPH BEER","MANHATTAN","BROOME STREET",10013,"American","04/29/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",7,"A","04/29/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"NEARY'S PUB","MANHATTAN","EAST   57 STREET",10022,"American","07/27/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",10,"A","07/27/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"HAPPY GARDEN PALACE","MANHATTAN","EAST BROADWAY",10002,"Chinese","02/12/2014","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",12,"A","02/12/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"LA PANINERIA","MANHATTAN","W 36TH ST",10018,"Sandwiches/Salads/Mixed Buffet","10/24/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",5,"A","10/24/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"FIELDS GOOD CHICKEN","MANHATTAN","MADISON AVE",10016,"American","01/17/2017","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",13,"A","01/17/2017","04/23/2017","Pre-permit (Operational) / Initial Inspection",NA,NA
"MIZU","MANHATTAN","EAST   20 STREET",10003,"Japanese","12/14/2016","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",7,"A","12/14/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"ELITE FOOD BAR","MANHATTAN","EAST   48 STREET",10017,"American","02/10/2017","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",11,"A","02/10/2017","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"CAFFE ROMA","MANHATTAN","BROOME STREET",10013,"Bakery","07/17/2015","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",12,"A","07/17/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"BROWNS BAGELS","MANHATTAN","W 31ST ST",10001,"Bagels/Pretzels","06/23/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","06/23/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",NA,NA
"DESI GALLI","MANHATTAN","LEXINGTON AVE",10016,"Indian","05/05/2016","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",12,"A","05/05/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"CHATIME","MANHATTAN","LEXINGTON AVENUE",10065,"CafÃ©/Coffee/Tea","08/10/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,"A","08/10/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"MIKEY'S","MANHATTAN","LUDLOW STREET",10002,"American","07/20/2015","Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",12,"A","07/20/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"LUCY'S WHEY","MANHATTAN","LEXINGTON AVE",10128,"American","12/29/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",10,"A","12/29/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"CHIPOTLE MEXICAN GRILL","MANHATTAN","7 AVENUE",10018,"Mexican","02/27/2017","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical",9,"A","02/27/2017","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"LA NUEVA JUQUILA RESTAURANT","MANHATTAN","AMSTERDAM AVENUE",10032,"Mexican","12/10/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",9,"A","12/10/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"CORK 'N FORK","MANHATTAN","AVENUE A",10009,"Tapas","06/04/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","06/04/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"WICHCRAFT","MANHATTAN","BROADWAY",10007,"Sandwiches","08/19/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",5,"A","08/19/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",NA,NA
"OPUS","MANHATTAN","W 202ND STREET",10034,"American","06/17/2016","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",9,"A","06/17/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"CHARLYS","MANHATTAN","TRINITY PLACE",10006,"American","12/18/2013","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",10,"A","12/18/2013","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"WESTVILLE","MANHATTAN","WEST   18 STREET",10011,"American","09/28/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",10,"A","09/28/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"LA GOURMET","MANHATTAN","EAST   58 STREET",10022,"American","06/17/2014","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",8,"A","06/17/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"EL CAPRI RESTAURANT","MANHATTAN","ST NICHOLAS AVENUE",10033,"Spanish","12/22/2014","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",25,"B","12/22/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"MOLE","MANHATTAN","JANE STREET",10014,"Mexican","03/04/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",7,"A","03/04/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"NORTH VILLAGE DELI","MANHATTAN","8TH AVE",10011,"American","07/14/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",22,"B","07/14/2015","04/23/2017","Pre-permit (Operational) / Re-inspection",NA,NA
"STARBUCKS","MANHATTAN","WEST 23 STREET",10010,"CafÃ©/Coffee/Tea","05/02/2014","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",11,"A","05/02/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"THE BOILER ROOM","MANHATTAN","EAST    4 STREET",10003,"American","12/09/2015","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",12,"A","12/09/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"TRIONA'S","MANHATTAN","SULLIVAN STREET",10012,"Irish","12/12/2016","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",9,"A","12/12/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"2 WEST RESTAURANT","MANHATTAN","WEST STREET",10004,"American","09/12/2014","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",9,"A","09/12/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"GRIFFIS FACULTY CLUB","MANHATTAN","EAST   68 STREET",10065,"American","06/01/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",13,"A","06/01/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"AMAZING 66 RESTAURANT","MANHATTAN","MOTT STREET",10013,"Chinese","09/23/2016","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",10,"A","09/23/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"HALE & HEARTY SOUPS","MANHATTAN","EAST   23 STREET",10010,"Soups & Sandwiches","07/30/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A","07/30/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"EL COLMADO","MANHATTAN","11TH AVE",10036,"Mexican","01/23/2017","Violations were cited in the following area(s).","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Critical",11,"A","01/23/2017","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"SUSHI HANA","MANHATTAN","RIVINGTON STREET",10002,"Japanese","09/08/2014","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Critical",10,"A","09/08/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"MONUMENT LANE","MANHATTAN","GREENWICH AVENUE",10014,"American","08/05/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",13,"A","08/05/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"OOTOYA","MANHATTAN","W 41ST ST",10036,"Japanese","06/22/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","06/22/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"COMODO","MANHATTAN","MACDOUGAL STREET",10012,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","05/28/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A","05/28/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"JOHAL DELI","MANHATTAN","COLUMBUS AVE",10025,"Pakistani","02/26/2014","Violations were cited in the following area(s).","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Critical",18,"B","02/26/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"SUSHIDEN","MANHATTAN","EAST   49 STREET",10017,"Japanese","03/08/2017","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","03/08/2017","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"HOUNDSTOOTH PUB","MANHATTAN","8 AVENUE",10018,"American","03/07/2017","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",7,"A","03/07/2017","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"MIDNIGHT EXPRESS","MANHATTAN","2 AVENUE",10128,"American","01/12/2015","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",15,"B","01/12/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"PARK AVENUE TAVERN","MANHATTAN","PARK AVENUE",10016,"American","08/03/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","08/03/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"3 SHEETS SALOON","MANHATTAN","WEST    3 STREET",10012,"American","05/27/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",13,"A","05/27/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"BLOCKHEADS","MANHATTAN","WEST   50 STREET",10019,"Mexican","03/03/2014","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",9,"A","03/03/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"FORMOSA","MANHATTAN","ELDRIDGE ST",10002,"Asian","08/16/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","08/16/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"CATA","MANHATTAN","BOWERY ST",10002,"Spanish","04/11/2017","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",9,"A","04/11/2017","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"TRINITY PUB","MANHATTAN","EAST   84 STREET",10028,"American","03/26/2015","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",7,"A","03/26/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"HOT DOG CONCESSION","MANHATTAN","PENN PLZ",10121,"American","03/24/2016","No violations were recorded at the time of this inspection.","","","Not Applicable",0,"A","03/24/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",NA,NA
"THE KATI ROLL COMPANY","MANHATTAN","WEST   39 STREET",10018,"Indian","09/01/2015","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",10,"A","09/01/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"LITE DELIGHTS","MANHATTAN","EAST HOUSTON STREET",10012,"American","11/21/2014","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",12,"A","11/21/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"LA OAXAQUENA RESTAURANT","MANHATTAN","AMSTERDAM AVENUE",10032,"Mexican","02/27/2017","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",11,"A","02/27/2017","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"MADISON DELI","MANHATTAN","MADISON AVENUE",10017,"American","06/06/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","06/06/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"NIPPORI JAPANESE RESTAURANT","MANHATTAN","W 51ST",10019,"Japanese","02/22/2017","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",12,"A","02/22/2017","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"11 HOWARD KITCHEN","MANHATTAN","LAFAYETTE ST",10013,"American","10/07/2016","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",5,"A","10/07/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",NA,NA
"THE CUPPING ROOM","MANHATTAN","WEST BROADWAY",10013,"American","05/07/2014","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A","05/07/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"MOMOKAWA","MANHATTAN","1ST AVE",10075,"Japanese","08/03/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","08/03/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",NA,NA
"CafÃ© Medi","MANHATTAN","RIVINGTON STREET",10002,"American","11/01/2013","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",26,"B","11/01/2013","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"BIRDBATH  NEIGHBORHOOD GREEN BAKERY","MANHATTAN","CHURCH STREET",10013,"Bakery","09/18/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",9,"A","09/18/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"DUNKIN'  DONUTS","MANHATTAN","CANAL STREET",10013,"Donuts","04/17/2017","Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",11,"A","04/17/2017","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"CHELSEA SQUARE RESTAURANT","MANHATTAN","WEST   23 STREET",10011,"American","06/30/2014","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",21,"B","06/30/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"BAR 13","MANHATTAN","EAST   13 STREET",10003,"American","11/22/2016","Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",12,"A","11/22/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"HONG KONG NOODLES","MANHATTAN","LEXINGTON AVE",10016,"Chinese/Japanese","09/29/2015","Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical",12,"A","09/29/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"CHOP'T","MANHATTAN","EAST   52 STREET",10022,"Salads","09/16/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",9,"A","09/16/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"CAFE ORLIN","MANHATTAN","ST MARKS PLACE",10003,"American","08/22/2016","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",10,"A","08/22/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"DUNKIN' DONUTS","MANHATTAN","AUDUBON AVE",10033,"Donuts","05/18/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",10,"A","05/18/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"QUALITY MEATS","MANHATTAN","WEST   58 STREET",10019,"Steak","02/19/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A","02/19/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"VINATERIA","MANHATTAN","FREDERICK DOUGLAS BOULEVARD",10026,"American","07/31/2013","Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical",10,"A","07/31/2013","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"RAOULS","MANHATTAN","PRINCE STREET",10012,"French","03/10/2015","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",7,"A","03/10/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"FINO RISTORANTE","MANHATTAN","WALL STREET COURT",10005,"Italian","09/02/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",18,"B","09/02/2014","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"CHEF YU / AZUKI","MANHATTAN","8 AVENUE",10018,"Chinese","09/08/2015","Violations were cited in the following area(s).","04E","Toxic chemical improperly labeled, stored or used such that food contamination may occur.","Critical",26,"B","09/08/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"MY COOKING PARTY","MANHATTAN","W 29TH ST",10001,"American","02/07/2017","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",5,"A","02/07/2017","04/23/2017","Pre-permit (Operational) / Initial Inspection",NA,NA
"DEAN & DELUCA","MANHATTAN","8 AVENUE",10018,"American","01/30/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",9,"A","01/30/2015","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"NEW YORK JR. LEAGUE","MANHATTAN","EAST   80 STREET",10075,"CafÃ©/Coffee/Tea","03/07/2016","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A","03/07/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"FAIRFIELD INN","MANHATTAN","WEST   40 STREET",10018,"American","09/16/2016","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",12,"A","09/16/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"PEACEFOOD CAFE DOWNTOWN","MANHATTAN","EAST   11 STREET",10003,"Vegetarian","10/03/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",7,"A","10/03/2016","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
"ASIAN STATION BISTRO","MANHATTAN","EAST   52 STREET",10022,"Asian","07/30/2014","Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical",8,"A","07/30/2014","04/23/2017","Cycle Inspection / Initial Inspection",NA,NA
